station_id,mae_h2,mae_h2e,n_test_cells,true_doc_mean,pred_doc_mean,mae,bias,lat,lon,huc2,upstream_degree,downstream_degree,hist_doc_mean,improvement
06425900,5.06102991104126,4.302923202514648,21,13.78095245361328,10.460838317871094,6.021791934967041,-3.3201136589050293,44.07997827,-105.266931,10,0,1,13.78095245361328,0.7581067085266113
03366500,2.186812400817871,1.4592965841293335,36,5.166389465332031,3.123080253601074,2.0693845748901367,-2.04330849647522,38.8042145,-85.6738418,5,0,1,5.166389465332031,0.7275158166885376
03289500,3.0408973693847656,2.341953992843628,45,5.333333492279053,3.042567729949951,2.5384323596954346,-2.2907660007476807,38.26868254,-84.8146714,5,0,1,5.333333492279053,0.6989433765411377
05330000,2.3402693271636963,1.6444858312606812,44,6.752651691436768,5.750750541687012,1.6343966722488403,-1.0019006729125977,44.6926832,-93.642001,7,0,1,6.752651691436768,0.6957834959030151
06214500,1.6215602159500122,0.9559348225593567,49,2.658435344696045,3.908384323120117,1.944169998168945,1.2499489784240725,45.800119,-108.468031,10,2,1,2.658435344696045,0.6656253933906555
05532500,2.3986167907714844,1.7808012962341309,52,7.531089305877685,5.472594261169434,2.0649991035461426,-2.0584959983825684,41.82149167,-87.8220361,7,1,1,7.531089305877685,0.6178154945373535
06324500,2.0127785205841064,1.4182298183441162,89,5.277303218841553,10.560294151306152,5.552906036376953,5.2829909324646,45.0571972,-105.8783778,10,2,1,5.277303218841553,0.5945487022399902
03438500,0.8858575224876404,0.34617844223976135,35,2.385999917984009,3.180763959884644,0.7947638630867004,0.7947638630867004,37.14866656,-88.3992047,5,0,1,2.385999917984009,0.539679080247879
03290500,1.6136325597763062,1.083895206451416,58,3.848850727081299,3.073529005050659,1.1507480144500732,-0.7753217220306396,38.43894162,-84.96326372,5,2,1,3.848850727081299,0.5297373533248901
03010958,1.2520246505737305,0.7508501410484314,27,2.4037036895751958,3.251643657684326,1.0538856983184814,0.8479400873184204,41.9770076,-78.62474909,5,0,1,2.4037036895751958,0.5011745095252991
07099200,1.3791069984436035,0.9014598727226257,119,2.66281533241272,2.797562837600708,0.4469501674175262,0.1347480863332748,38.33722178,-104.93889055,11,1,1,2.66281533241272,0.4776471257209778
06279500,1.0439822673797607,0.5880299806594849,38,3.699561357498169,6.842137336730957,3.14257550239563,3.14257550239563,44.75852989,-108.1815559,10,2,1,3.699561357498169,0.4559522867202759
03354000,1.3442485332489014,0.8923720121383667,37,4.5632429122924805,2.633329391479492,2.009984970092773,-1.9299135208129885,39.4975388,-86.4005316,5,1,1,4.5632429122924805,0.45187652111053467
