station_id,n_test_cells,true_doc_mean,pred_doc_mean,mae,bias,lat,lon,huc2,upstream_degree,downstream_degree,hist_doc_mean
07048800,120,2.730680227279663,3.1003804206848145,1.6848629713058472,0.3697001039981842,36.10416667,-94.0075,11,1,1,2.730680227279663
07083000,27,1.1737489700317383,2.646162509918213,1.674705982208252,1.4724136590957642,39.17221259,-106.3891926,11,0,1,1.1737489700317383
05451210,238,4.250247955322266,4.65930700302124,1.6476526260375977,0.409059077501297,42.31530556,-93.1521944,07,0,1,4.250247955322266
05330000,44,6.752651691436768,5.750750541687012,1.6343966722488403,-1.0019006729125977,44.6926832,-93.642001,07,0,1,6.752651691436768
06759910,30,4.176666736602783,5.427849292755127,1.616313099861145,1.2511829137802124,40.3575,-103.5280556,10,1,1,4.176666736602783
06754000,241,4.673450946807861,3.823704481124878,1.5978188514709473,-0.8497467041015625,40.4119253,-104.5627366,10,5,1,4.673450946807861
06734900,32,3.5403127670288086,1.9825611114501953,1.5577512979507446,-1.5577512979507446,40.37385556,-105.4738139,10,3,1,3.5403127670288086
07186480,41,1.9129266738891602,2.8442039489746094,1.5003710985183716,0.9312772750854492,37.1556146,-94.6030068,11,0,1,1.9129266738891602
06923150,37,2.5144593715667725,2.669895887374878,1.4927499294281006,0.15543638169765472,37.5944,-92.9668194,10,0,1,2.5144593715667725
385234087071801,24,4.186458110809326,5.163384914398193,1.4811983108520508,0.976926326751709,38.8761577,-87.1216775,05,2,1,4.186458110809326
03144289,31,4.389785289764404,3.7741920948028564,1.4336546659469604,-0.615592896938324,40.2270151,-81.9931914,05,0,1,4.389785289764404
06818000,37,4.821891784667969,5.076818943023682,1.4262173175811768,0.25492677092552185,39.75325,-94.8568333,10,3,1,4.821891784667969
07241550,157,5.7046709060668945,4.783241271972656,1.394469141960144,-0.9214300513267517,35.5003412,-97.1939194,11,0,1,5.7046709060668945
05331833,29,5.7448272705078125,5.758203029632568,1.3769670724868774,0.013375652022659779,46.1713687,-91.3293778,07,0,1,5.7448272705078125
03612600,111,2.9016215801239014,4.278527736663818,1.376906394958496,1.376906394958496,37.17921867,-89.058404,05,1,1,2.9016215801239014
06893150,47,5.474326133728027,4.492754936218262,1.3411210775375366,-0.9815711379051208,38.88941667,-94.5806667,10,0,1,5.474326133728027
05355250,34,7.264706134796143,6.652126312255859,1.239014983177185,-0.6125790476799011,44.56530556,-92.5424444,07,2,1,7.264706134796143
03303280,299,3.5398495197296143,3.7459750175476074,1.2193156480789185,0.20612525939941406,37.89950088,-86.70554179,05,7,1,3.5398495197296143
03290500,58,3.848850727081299,3.073529005050659,1.1507480144500732,-0.7753217220306396,38.43894162,-84.96326372,05,2,1,3.848850727081299
07056515,60,2.001138925552368,1.5636297464370728,1.1320801973342896,-0.437509149312973,35.94,-92.7133333,11,0,1,2.001138925552368
03010958,27,2.4037036895751953,3.251643657684326,1.0538856983184814,0.8479400873184204,41.9770076,-78.62474909,05,0,1,2.4037036895751953
07374000,135,3.702763319015503,4.65976095199585,1.0479588508605957,0.9569974541664124,30.44566667,-91.1915556,08,1,1,3.702763319015503
05464935,25,3.757999897003174,4.299459457397461,1.0286160707473755,0.541459321975708,41.45891465,-91.2112657,07,1,1,3.757999897003174
07048600,152,2.739342212677002,2.3792612552642822,1.011519432067871,-0.36008092761039734,36.07305556,-94.0811111,11,0,1,2.739342212677002
393306086585201,26,3.3019232749938965,2.518939971923828,1.0066286325454712,-0.7829830646514893,39.5517104,-86.9811239,05,1,1,3.3019232749938965
06208500,33,2.097777843475342,2.904710531234741,0.9497485756874084,0.8069326281547546,45.46571389,-108.8441056,10,0,1,2.097777843475342
06888500,35,3.0971429347991943,3.804485559463501,0.9475013613700867,0.7073428630828857,39.06472106,-96.1691605,10,0,1,3.0971429347991943
03024000,29,3.481034755706787,2.57060170173645,0.9398748278617859,-0.9104328751564026,41.43755525,-79.9558912,05,0,1,3.481034755706787
464500112195200,24,1.6095833778381348,0.8807929158210754,0.9151275753974915,-0.7287904620170593,46.75,-112.331111,10,0,1,1.6095833778381348
03474000,26,1.461538553237915,2.205512523651123,0.8713464140892029,0.7439738512039185,36.80733756,-81.6220617,06,0,1,1.461538553237915
