site_no,DOC_monthly_labels,site_tp_cd,station_nm
07077555,46,ST,"Cache River near Cotton Plant, AR"
07077800,20,ST,"WHITE RIVER AT CLARENDON, AR"
07288650,211,ST,"BOGUE PHALIA NR LELAND, MS"
07288955,232,ST,"YAZOO RIVER BL STEELE BAYOU NR LONG LAKE, MS"
07362000,20,ST,"Ouachita River at Camden, AR"
07362587,163,ST,"Alum Fork Saline River near Reform, AR"
07362588,103,LK,Lake Winona DS from Stillhouse Creek near Reform
07362589,103,LK,"Lake Winona DS from Gillis Branch near Reform, AR"
07362590,121,LK,"Lake Winona at Reform, AR"
07369500,37,ST,"Tensas River at Tendal, LA"
07373420,320,ST,"MISSISSIPPI R NR ST. FRANCISVILLE, LA"
07374000,135,ST,"Mississippi River at Baton Rouge, LA"
07374525,208,ST,"Mississippi River at Belle Chasse, LA"
07375050,37,ST,"Tchefuncte River near Covington, LA"
07379960,27,ST,"Dawson Cr. at Bluebonnet Blvd near Baton Rouge, LA"
07381440,23,ST,"Bayou Grosse Tete at Rosedale, LA"
073814675,23,ST,"Bayou Boeuf at Railroad Bridge at Amelia, LA"
07381495,309,ST,"(COE) Atchafalaya River at Melville, LA"
07381590,105,ST,"Wax Lake Outlet at Calumet, LA"
07381600,209,ST,"Lower Atchafalaya River at Morgan City, LA"
08010000,30,ST,"Bayou Des Cannes near Eunice, LA"
08012150,44,ST,"Mermentau River At Mermentau, LA"
08012470,33,ST,"Bayou Lacassine near Lake Arthur, LA"
08014500,173,ST,"Ouiska Chitto Creek Near Oberlin, LA"
322023090544500,169,ST,"MISSISSIPPI RIVER ABOVE VICKSBURG AT MILE 438, MS"
330255092064301,103,ST,"Ouachita River below Felsenthal Lock and Dam, AR"
330937092081001,113,ST,"Ouachita River at Mile 237.9 n. of Felsenthal, AR"
06054500,26,ST,Missouri River at Toston MT
06057000,24,ST,Missouri River near Townsend MT
06126470,22,ST,Halfbreed Creek near Klein MT
06177500,22,ST,Redwater River at Circle MT
06177825,25,ST,Redwater River near Vida MT
06183450,22,ST,Big Muddy Creek near Antelope MT
06185500,91,ST,Missouri River near Culbertson MT
06187915,32,ST,Soda Butte Cr at Park Bndry at Silver Gate
06191500,33,ST,Yellowstone River at Corwin Springs MT
06208500,33,ST,Clarks Fork Yellowstone River at Edgar MT
06214500,49,ST,Yellowstone River at Billings MT
06279500,38,ST,"BIGHORN RIVER AT KANE, WY"
06294940,20,ST,Sarpy Creek near Hysham MT
06294980,25,ST,East Fork Armells Cr nr Colstrip MT
06294995,27,ST,Armells Creek near Forsyth MT
06295000,66,ST,Yellowstone River at Forsyth MT
06295250,25,ST,Rosebud Creek near Colstrip MT
06296003,30,ST,Rosebud Creek at mouth near Rosebud MT
06296120,41,ST,Yellowstone River near Miles City MT
06298000,32,ST,"TONGUE RIVER NEAR DAYTON, WY"
06306100,26,ST,Squirrel Creek nr Decker MT
06306300,61,ST,Tongue River at State Line nr Decker MT
06307500,70,ST,Tongue River at Tongue R Dam nr Decker MT
06307570,22,ST,Hanging Woman Cr bl Horse Cr nr Birney MT
06307600,32,ST,Hanging Woman Creek near Birney MT
06307616,30,ST,Tongue R at Birney Day School Br nr Birney MT
06307665,24,ST,Otter Creek near Otter MT
06307740,25,ST,Otter Creek at Ashland MT
06313500,44,ST,"POWDER RIVER AT SUSSEX, WY"
06316400,38,ST,"CRAZY WOMAN CREEK AT UPPER STA, NEAR ARVADA, WY"
06324500,89,ST,Powder River at Moorhead MT
06324890,31,ST,"LITTLE POWDER R BELOW CORRAL C NEAR WESTON, WY"
06324925,34,ST,"LITTLE POWDER RIVER NEAR WESTON, WY"
06324970,74,ST,"LITTLE POWDER RIVER AB DRY CREEK, NEAR WESTON, WY"
06326500,50,ST,Powder River near Locate MT
06326530,37,ST,"Yellowstone River near Terry, MT"
06326600,43,ST,O'Fallon Creek near Ismay MT
06329500,210,ST,Yellowstone River near Sidney MT
06330000,80,ST,"MISSOURI RIVER NEAR WILLISTON, ND"
06331570,27,ST,"STONY CREEK NR WILLISTON, ND"
06331850,41,ST,"BEAVER CREEK NR RAY, ND"
06332515,25,ST,"BEAR DEN CREEK NEAR MANDAREE, ND"
06332520,21,ST,"SHELL CREEK NR PARSHALL, ND"
06332523,21,ST,"EAST FORK SHELL CREEK NEAR PARSHALL, ND"
06332770,21,ST,"DEEPWATER CREEK AT MOUTH NEAR RAUB, ND"
06335750,45,ST,"DEEP CREEK NEAR AMIDON, ND"
06336500,26,ST,Beaver Creek at Wibaux MT
06336600,39,ST,"BEAVER CREEK NEAR TROTTERS, ND"
06337000,29,ST,"LITTLE MISSOURI RIVER NEAR WATFORD CITY, ND"
06337470,20,ST,"MOCCASIN CR AT MOUTH NR MANDAREE, ND"
06337480,20,ST,"SAKAKAWEA CREEK AB MOUTH NR MANDAREE, ND"
06338490,107,ST,"MISSOURI RIVER AT GARRISON DAM, ND"
06339100,43,ST,"KNIFE RIVER AT MANNING, ND"
06339300,39,ST,"KNIFE RIVER AT MARSHALL, ND"
06339550,43,ST,"COYOTE CREEK NR ZAP, ND"
06339560,84,ST,"BRUSH CREEK NR BEULAH, ND"
06339800,37,ST,"SPRING CREEK BELOW LAKE ILO NR DUNN CENTER, ND"
06339900,39,ST,"SPRING CREEK NR HALLIDAY, ND"
