file,model,mask,dataset,rows,split_counts,test_stored_rows,test_mask_cells,test_unmatched,test_cells_nonfinite_pred,coverage,recomputed,sha256,in_frozen_table,in_multiseed_table,frozen_mae,frozen_r2,d_mae,d_r2,status
B1_kriging__e3_spatial_seed42.parquet,B1_kriging,e3_spatial_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25182, 'test': 5068, 'val': 2798}",5068,5068,0,18,0.9964483030781374,"{'mae': 1.7598534007486715, 'r2': 0.32478886590345946, 'rmse': 3.1799365720304262, 'n': 5050}",f4d1197f3aa21fe3cabc60368210d89190e4921ba66a54259b5ef4ba2da01bdc,True,False,1.7598534007486717,0.3247888255143024,-2.220446049250313e-16,4.0389157074383064e-08,verified_partial_coverage
B1_kriging__e3_spatial_seed43.parquet,B1_kriging,e3_spatial_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 26140, 'test': 4004, 'val': 2904}",4004,4004,0,4,0.999000999000999,"{'mae': 2.3353121894487447, 'r2': 0.10243797699287271, 'rmse': 11.394184521601959, 'n': 4000}",85356edfa5db481d7c8493e5e90103522db5a001818b6834c567f392e017918a,True,False,2.3353121894487447,0.1024379574508547,0.0,1.954201801768196e-08,verified_partial_coverage
B1_kriging__e3_spatial_seed44.parquet,B1_kriging,e3_spatial_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25325, 'test': 4909, 'val': 2814}",4909,4909,0,10,0.9979629252393563,"{'mae': 2.06011258453294, 'r2': 0.38267354605758974, 'rmse': 3.814525549801602, 'n': 4899}",b58a83a23813ea84af80c77b27c7651ac1c5501bef705114e535499125a29467,True,False,2.06011258453294,0.3826735805564737,0.0,-3.449888397177858e-08,verified_partial_coverage
B2_random_forest__e1_r20_seed42.parquet,B2_random_forest,e1_r20_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.4551459784368677, 'r2': 0.254020170884672, 'rmse': 6.650970194348988, 'n': 6610}",203db4fed2daa87d5528968cd94a5c6b171280cc017e0ca0090c95f29a7473c1,True,False,1.4551459784368677,0.2540201749781621,0.0,-4.093490102441422e-09,verified
B2_random_forest__e1_r20_seed43.parquet,B2_random_forest,e1_r20_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.350977051072275, 'r2': 0.5871958471182992, 'rmse': 3.0954150657374, 'n': 6610}",dd78deb2842047434799a8a79899ee043df9336e9a8f27b636564206cb73f00c,True,False,1.350977051072275,0.5871958215518387,0.0,2.5566460504222732e-08,verified
B2_random_forest__e1_r20_seed44.parquet,B2_random_forest,e1_r20_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.461678697589569, 'r2': 0.43427320565158345, 'rmse': 4.4908686689416655, 'n': 6610}",1f09e5e423edcf56105a330cc15104bcaa147ae692d7b27af78a58d455b8852a,True,False,1.461678697589569,0.4342731883371273,0.0,1.731445614661098e-08,verified
B2_random_forest__e1_r40_seed42.parquet,B2_random_forest,e1_r40_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.481872483946172, 'r2': 0.22860285782110157, 'rmse': 6.871036640368859, 'n': 13219}",6e10c83a9e7004c88430407944e2fa09ae559d7982edbdda12e2f91abc185e69,True,False,1.481872483946172,0.2286028400075598,0.0,1.7813541780542508e-08,verified
B2_random_forest__e1_r40_seed43.parquet,B2_random_forest,e1_r40_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.4324750109612665, 'r2': 0.3384460839552782, 'rmse': 5.185093448466345, 'n': 13219}",9bfe1ec23bd171aaa0a6c68b05a017b10c40dee80403198ea212d9d8b44fe02a,True,False,1.4324750109612665,0.3384460532368818,0.0,3.071839638213447e-08,verified
B2_random_forest__e1_r40_seed44.parquet,B2_random_forest,e1_r40_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.4099220911041752, 'r2': 0.4732209665998932, 'rmse': 4.117623409797737, 'n': 13219}",071d493d61c5a220e9409bfbcb8d107bcd1d26bff06edb23e79cb73d0b351e35,True,False,1.4099220911041752,0.4732209555453448,0.0,1.1054548387789964e-08,verified
B2_random_forest__e1_r60_seed42.parquet,B2_random_forest,e1_r60_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,0,1.0,"{'mae': 1.480550412869894, 'r2': 0.2723264806729212, 'rmse': 5.983240613025951, 'n': 19829}",5e040cd90c6440eec499edc7042078f62738f2c352876c5fc990340d376c3e77,True,False,1.480550412869894,0.2723264826616121,0.0,-1.988690878640398e-09,verified
