model,seed,mask,file,mae,r2,rmse,log_r2,log_mae,log_rmse,n
H2,1,e1_r20_seed42,H2_transport_river_s1,1.442283272743225,0.28880097477460565,6.4940714836120605,0.7601408047797348,0.201881542801857,0.2977670431137085,6610
H2,1,e1_r20_seed43,H2_transport_river_s1,1.3352962732315063,0.5800435301159088,3.1221158504486084,0.744857898664055,0.20202986896038055,0.3008779287338257,6610
H2,1,e1_r20_seed44,H2_transport_river_s1,1.4378539323806763,0.4536572464943398,4.413260459899902,0.7482339908021224,0.20599041879177094,0.3058812618255615,6610
H2,1,e2a_strict,H2_transport_river_s1,1.1034257411956787,0.3438755577234618,1.6147438287734985,0.5027328825487353,0.21867552399635315,0.29337647557258606,3184
H2,1,e2b_partial,H2_transport_river_s1,1.0267196893692017,0.40585804097473865,1.4956648349761963,0.5355497132100308,0.207214817404747,0.2804204821586609,2547
H2,1,e3_spatial_seed42,H2_transport_river_s1,1.7083367109298706,0.3167516890195504,3.2141101360321045,0.3883043503991578,0.2810215651988983,0.3890598714351654,5068
H2,1,e3_spatial_seed43,H2_transport_river_s1,2.4524569511413574,0.06759360952469107,11.608519554138184,0.35398947550605087,0.37212806940078735,0.484401136636734,4004
H2,1,e3_spatial_seed44,H2_transport_river_s1,1.8938606977462769,0.3883089850598078,3.799532651901245,0.5609294919710224,0.2854835093021393,0.3926495611667633,4909
H2,2,e1_r20_seed42,H2_transport_river_s2,1.4414819478988647,0.2765705288860212,6.549672603607178,0.7540189077935072,0.20307007431983948,0.30154305696487427,6610
H2,2,e1_r20_seed43,H2_transport_river_s2,1.318536639213562,0.5924952075932214,3.0754823684692383,0.7484007510005846,0.20262053608894348,0.2987816631793976,6610
H2,2,e1_r20_seed44,H2_transport_river_s2,1.4242559671401978,0.44156419569765815,4.461835861206055,0.7484560215606377,0.20428232848644257,0.3057463467121124,6610
H2,2,e2a_strict,H2_transport_river_s2,1.3861511945724487,0.12021241536225691,1.8698184490203857,0.20623450737122972,0.2902895212173462,0.370660662651062,3184
H2,2,e2b_partial,H2_transport_river_s2,1.344304084777832,0.1449287080606898,1.7942804098129272,0.21923060319662013,0.28400346636772156,0.36358126997947693,2547
H2,2,e3_spatial_seed42,H2_transport_river_s2,1.7580232620239258,0.3542341845424316,3.1247048377990723,0.38078480911132495,0.2943685054779053,0.3914439082145691,5068
H2,2,e3_spatial_seed43,H2_transport_river_s2,2.303738832473755,0.07837342977893758,11.541220664978027,0.39266406142326604,0.3550054132938385,0.469677597284317,4004
H2,2,e3_spatial_seed44,H2_transport_river_s2,1.847654104232788,0.4522528227548275,3.5954577922821045,0.5637455881537498,0.2945997416973114,0.3913883566856384,4909
H2,3,e1_r20_seed42,H2_transport_river_s3,1.4667197465896606,0.2652454631929385,6.6007399559021,0.7514999119726578,0.20720139145851135,0.3030831217765808,6610
